label,proto,n_packets,duration_s,len_mean,len_stdev,len_entropy,n_unique_sizes,dominant_size,dominant_size_fraction,top3_size_fraction,bulk_fraction,ack60_fraction,ack_to_data_ratio,iat_mean,iat_stdev,rate_pps,flow_key
background,tcp,47,36.82,115.4,197.2,3.114,17,60,0.319,0.638,0.0,0.319,0.469,0.8005,3.1804,1.28,tcp:10.0.2.15:42255<->70.80.25.101:64982
background,tcp,48,36.82,114.7,190.4,3.301,19,60,0.312,0.604,0.0,0.312,0.455,0.7834,3.1243,1.3,tcp:10.0.2.15:54963<->204.83.155.169:32620
background,udp,85,442.02,64.1,12.7,3.413,20,60,0.271,0.6,0.0,0.271,0.0,5.2622,23.1271,0.19,udp:10.0.2.15:49539<->131.202.240.87:54836
background,tcp,45,35.89,117.8,204.1,3.165,17,60,0.4,0.6,0.0,0.4,0.667,0.8157,2.6921,1.25,tcp:10.0.2.15:55027<->24.36.174.173:47044
background,tcp,38,35.65,82.1,89.5,2.916,14,60,0.395,0.658,0.0,0.395,0.652,0.9635,3.383,1.07,tcp:10.0.2.15:54967<->204.83.155.169:32620
background,tcp,30,29.15,71.1,26.3,2.823,12,60,0.4,0.667,0.0,0.4,0.667,1.0051,3.6637,1.03,tcp:10.0.2.15:35301<->67.71.163.47:30582
background,tcp,173,687.89,108.7,225.2,3.727,39,60,0.301,0.613,0.006,0.301,0.43,3.9994,24.0077,0.25,tcp:10.0.2.15:52875<->173.194.78.16:993
background,tcp,206,68.96,97.1,84.8,4.01,46,60,0.286,0.534,0.0,0.286,0.401,0.3364,1.7379,2.99,tcp:10.0.2.15:52882<->173.194.78.16:993
background,tcp,520,260.18,88.9,53.7,3.924,63,60,0.285,0.558,0.0,0.285,0.398,0.5013,3.4743,2.0,tcp:10.0.2.15:52888<->173.194.78.16:993
background,tcp,62,5.4,125.9,112.0,4.099,33,60,0.29,0.5,0.0,0.29,0.409,0.0885,0.2038,11.49,tcp:10.0.2.15:58414<->64.233.167.16:993
background,tcp,195,49.23,101.2,88.4,4.067,47,60,0.297,0.523,0.0,0.297,0.423,0.2537,1.0984,3.96,tcp:10.0.2.15:58420<->64.233.167.16:993
background,tcp,244,164.8,96.9,79.4,4.091,52,60,0.279,0.508,0.0,0.279,0.386,0.6782,6.1258,1.48,tcp:10.0.2.15:58426<->64.233.167.16:993
background,udp,1759,618.7,143.6,36.2,2.698,22,160,0.462,0.702,0.0,0.0,0.0,0.3519,3.1377,2.84,udp:131.202.240.242:51434<->131.202.240.45:161
background,tcp,1939,619.93,389.6,461.4,4.885,254,54,0.26,0.495,0.097,0.064,0.068,0.3199,1.6099,3.13,tcp:131.202.240.242:32576<->173.252.100.27:443
background,udp,412,608.17,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,1.4797,2.8476,0.68,udp:131.202.240.242:137<->131.202.243.255:137
background,tcp,28,585.6,60.5,5.6,1.0,2,55,0.5,1.0,0.0,0.0,0.0,21.689,22.8919,0.05,tcp:131.202.240.242:32506<->173.194.210.188:5228
background,tcp,30,240.22,288.9,430.2,3.598,16,54,0.233,0.467,0.1,0.167,0.2,8.2835,44.549,0.12,tcp:131.202.240.242:32601<->74.125.228.229:443
background,tcp,140,240.24,764.9,658.4,2.269,21,1404,0.493,0.85,0.507,0.05,0.053,1.7283,20.3441,0.58,tcp:131.202.240.242:32603<->173.194.123.1:443
background,tcp,74,300.09,881.2,651.9,1.542,8,1404,0.581,0.932,0.608,0.014,0.014,4.1109,35.112,0.25,tcp:131.202.240.242:32586<->209.148.205.35:443
background,tcp,15,240.07,120.2,129.1,2.523,7,60,0.267,0.733,0.0,0.267,0.364,17.1481,64.1232,0.06,tcp:131.202.240.242:32584<->74.125.226.163:443
background,tcp,337,65.28,820.4,637.4,2.519,47,1404,0.504,0.825,0.519,0.027,0.027,0.1943,3.2732,5.16,tcp:131.202.240.242:32605<->209.148.205.25:443
background,tcp,31,240.15,289.3,465.0,3.562,16,54,0.226,0.484,0.129,0.194,0.24,8.005,43.8041,0.13,tcp:131.202.240.242:32610<->74.125.226.161:443
background,udp,20,556.74,215,0.0,-0.0,1,215,1.0,1.0,0.0,0.0,0.0,29.302,31.7349,0.04,udp:131.202.240.183:63970<->255.255.255.255:1900
background,udp,10,593.13,86.3,0.5,0.881,2,86,0.7,1.0,0.0,0.0,0.0,65.9032,187.0624,0.02,udp:131.202.240.217:5353<->224.0.0.251:5353
background,udp,122,605.0,63,0.0,-0.0,1,63,1.0,1.0,0.0,0.0,0.0,5.0,0.0004,0.2,udp:131.202.240.183:54357<->131.202.243.255:32412
background,udp,122,605.0,63,0.0,-0.0,1,63,1.0,1.0,0.0,0.0,0.0,5.0,0.0005,0.2,udp:131.202.240.183:54361<->131.202.243.255:32414
background,udp,11,600.01,80,0.0,-0.0,1,80,1.0,1.0,0.0,0.0,0.0,60.0005,0.0014,0.02,udp:131.202.240.97:4644<->131.202.243.255:4644
background,udp,744,603.76,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,0.8126,1.3675,1.23,udp:131.202.240.102:137<->131.202.243.255:137
background,udp,21,603.82,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,30.1909,66.9469,0.03,udp:131.202.240.79:137<->131.202.243.255:137
background,udp,130,594.47,86.0,0.1,0.065,2,86,0.992,1.0,0.0,0.0,0.0,4.6083,12.7194,0.22,udp:131.202.240.225:5353<->224.0.0.251:5353
background,udp,261,603.77,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,2.3222,4.8395,0.43,udp:131.202.240.70:137<->131.202.243.255:137
background,udp,302,602.93,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,2.0031,1.7597,0.5,udp:131.202.240.157:137<->131.202.243.255:137
background,udp,131,593.01,106.7,2.6,1.067,3,106,0.595,1.0,0.0,0.0,0.0,4.5616,12.9971,0.22,udp:fe80::223:aeff:fe94:2a8a:5353<->ff02::fb:5353
background,udp,130,593.01,86.7,2.6,1.07,3,86,0.592,1.0,0.0,0.0,0.0,4.597,12.9678,0.22,udp:131.202.240.97:5353<->224.0.0.251:5353
background,udp,142,603.35,106.2,1.7,0.28,3,106,0.958,1.0,0.0,0.0,0.0,4.2791,11.7702,0.24,udp:fe80::4a5b:39ff:fe37:cd02:5353<->ff02::fb:5353
background,udp,136,603.35,86.2,1.7,0.215,3,86,0.971,1.0,0.0,0.0,0.0,4.4692,12.2676,0.23,udp:131.202.240.84:5353<->224.0.0.251:5353
background,udp,20,573.0,168,0.0,-0.0,1,168,1.0,1.0,0.0,0.0,0.0,30.1579,0.4219,0.03,udp:131.202.240.65:17500<->255.255.255.255:17500
background,udp,20,573.0,168,0.0,-0.0,1,168,1.0,1.0,0.0,0.0,0.0,30.1579,0.4219,0.03,udp:131.202.240.65:17500<->131.202.243.255:17500
background,udp,133,596.77,106.2,3.4,1.492,9,106,0.684,0.925,0.0,0.0,0.0,4.521,7.1092,0.22,udp:fe80::207:e9ff:fe24:5bca:5353<->ff02::fb:5353
background,udp,132,596.77,87.7,18.0,1.559,10,86,0.674,0.917,0.0,0.0,0.0,4.5555,7.1519,0.22,udp:131.202.240.251:5353<->224.0.0.251:5353
background,udp,286,602.27,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,2.1132,3.9953,0.47,udp:131.202.242.93:137<->131.202.243.255:137
background,udp,207,595.5,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,2.8908,3.1228,0.35,udp:131.202.240.85:137<->131.202.243.255:137
background,udp,558,601.51,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,1.0799,1.2651,0.93,udp:131.202.240.185:137<->131.202.243.255:137
background,udp,40,574.49,157,0.0,-0.0,1,157,1.0,1.0,0.0,0.0,0.0,14.7306,15.3085,0.07,udp:131.202.240.157:17500<->255.255.255.255:17500
background,udp,20,574.49,157,0.0,-0.0,1,157,1.0,1.0,0.0,0.0,0.0,30.2364,0.0143,0.03,udp:131.202.240.157:17500<->131.202.243.255:17500
background,udp,14,490.07,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,37.6973,98.6508,0.03,udp:fe80::e47f:1852:7f90:e5c:546<->ff02::1:2:547
background,udp,222,600.47,107.5,2.9,1.21,4,108,0.55,0.982,0.0,0.0,0.0,2.7171,2.9038,0.37,udp:fe80::b6b5:2fff:feca:45f1:5353<->ff02::fb:5353
background,udp,219,600.47,87.5,3.0,1.188,4,88,0.557,0.986,0.0,0.0,0.0,2.7545,2.959,0.36,udp:131.202.240.64:5353<->224.0.0.251:5353
background,udp,10,460.01,149,0.0,-0.0,1,149,1.0,1.0,0.0,0.0,0.0,51.1118,117.9918,0.02,udp:fe80::e8a2:2958:74cf:dd60:546<->ff02::1:2:547
background,udp,31,599.87,90,0.0,-0.0,1,90,1.0,1.0,0.0,0.0,0.0,19.9958,0.0005,0.05,udp:131.202.240.31:10244<->255.255.255.255:123
background,udp,57,594.66,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,10.619,20.9922,0.1,udp:131.202.240.83:137<->131.202.243.255:137
background,udp,20,572.34,146,0.0,-0.0,1,146,1.0,1.0,0.0,0.0,0.0,30.123,0.0084,0.03,udp:131.202.240.85:17500<->255.255.255.255:17500
background,udp,20,572.34,146,0.0,-0.0,1,146,1.0,1.0,0.0,0.0,0.0,30.123,0.0083,0.03,udp:131.202.240.85:17500<->131.202.243.255:17500
background,udp,291,593.27,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,2.0458,4.8532,0.49,udp:131.202.243.255:137<->131.202.243.49:137
background,udp,20,572.42,145,0.0,-0.0,1,145,1.0,1.0,0.0,0.0,0.0,30.1273,0.0074,0.03,udp:131.202.240.196:17500<->255.255.255.255:17500
background,udp,20,572.42,145,0.0,-0.0,1,145,1.0,1.0,0.0,0.0,0.0,30.1273,0.0074,0.03,udp:131.202.240.196:17500<->131.202.243.255:17500
background,udp,57,591.39,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,10.5605,20.5431,0.1,udp:131.202.240.66:137<->131.202.243.255:137
background,udp,47,497.16,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,10.8078,39.7334,0.09,udp:131.202.243.107:137<->131.202.243.255:137
background,udp,44,493.14,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,11.4683,40.7894,0.09,udp:131.202.243.110:137<->131.202.243.255:137
background,udp,78,591.26,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,7.6787,34.026,0.13,udp:131.202.240.87:137<->131.202.243.255:137
background,udp,47,489.43,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,10.6399,39.3369,0.1,udp:131.202.243.109:137<->131.202.243.255:137
background,udp,35,388.26,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,11.4195,42.9018,0.09,udp:131.202.243.105:137<->131.202.243.255:137
background,udp,44,501.74,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,11.6683,41.3842,0.09,udp:131.202.243.255:137<->131.202.243.99:137
background,udp,16,570.01,86,0.0,-0.0,1,86,1.0,1.0,0.0,0.0,0.0,38.0003,0.0011,0.03,udp:131.202.240.150:57621<->131.202.243.255:57621
background,udp,20,571.72,145,0.0,-0.0,1,145,1.0,1.0,0.0,0.0,0.0,30.0905,0.0035,0.03,udp:131.202.242.81:17500<->255.255.255.255:17500
background,udp,20,571.72,145,0.0,-0.0,1,145,1.0,1.0,0.0,0.0,0.0,30.0905,0.0035,0.03,udp:131.202.242.81:17500<->131.202.243.255:17500
background,udp,44,490.35,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,11.4034,40.7528,0.09,udp:131.202.243.103:137<->131.202.243.255:137
background,udp,40,587.3,60,0.0,-0.0,1,60,1.0,1.0,0.0,1.0,0.0,15.0589,0.0036,0.07,udp:131.202.243.145:1534<->131.202.243.255:1534
background,udp,41,487.68,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,12.1919,42.1232,0.08,udp:131.202.243.108:137<->131.202.243.255:137
background,udp,44,492.15,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,11.4453,40.9926,0.09,udp:131.202.243.102:137<->131.202.243.255:137
background,udp,41,492.15,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,12.3037,42.4125,0.08,udp:131.202.243.104:137<->131.202.243.255:137
background,udp,44,491.67,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,11.4342,40.9949,0.09,udp:131.202.241.238:137<->131.202.243.255:137
background,udp,22,540.23,215,0.0,-0.0,1,215,1.0,1.0,0.0,0.0,0.0,25.7254,27.6477,0.04,udp:131.202.240.183:7116<->239.255.255.250:1900
background,udp,26,580.78,106.1,0.3,0.516,2,106,0.885,1.0,0.0,0.0,0.0,23.2312,71.9479,0.04,udp:fe80::baca:3aff:fea4:8780:5353<->ff02::fb:5353
background,udp,23,580.78,86.1,0.3,0.559,2,86,0.87,1.0,0.0,0.0,0.0,26.3991,77.6775,0.04,udp:131.202.240.206:5353<->224.0.0.251:5353
background,udp,40,572.06,168,0.0,-0.0,1,168,1.0,1.0,0.0,0.0,0.0,14.6683,15.2445,0.07,udp:131.202.240.88:50546<->255.255.255.255:17500
background,udp,35,390.83,266.9,17.2,1.557,3,250,0.429,1.0,0.0,0.0,0.0,11.495,38.0816,0.09,udp:131.202.240.64:138<->131.202.243.255:138
background,udp,35,381.2,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,11.2118,32.2819,0.09,udp:131.202.243.255:137<->131.202.243.96:137
background,udp,32,381.2,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,12.2968,44.8895,0.08,udp:131.202.243.255:137<->131.202.243.97:137
background,udp,32,381.2,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,12.2968,44.8895,0.08,udp:131.202.243.255:137<->131.202.243.98:137
background,udp,11,482.84,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,48.2845,76.8474,0.02,udp:131.202.243.110:138<->131.202.243.255:138
background,udp,11,486.34,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,48.6337,77.1289,0.02,udp:131.202.243.102:138<->131.202.243.255:138
background,udp,10,380.28,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,42.253,78.9586,0.03,udp:131.202.243.255:138<->131.202.243.97:138
background,udp,11,482.84,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,48.2844,76.8474,0.02,udp:131.202.243.103:138<->131.202.243.255:138
background,udp,10,380.28,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,42.253,78.9585,0.03,udp:131.202.243.255:138<->131.202.243.96:138
background,udp,11,479.79,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,47.9787,76.6131,0.02,udp:131.202.243.109:138<->131.202.243.255:138
background,udp,11,493.77,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,49.3768,77.7767,0.02,udp:131.202.243.255:138<->131.202.243.99:138
background,udp,10,380.28,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,42.253,78.9586,0.03,udp:131.202.243.255:138<->131.202.243.98:138
background,udp,11,486.34,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,48.6336,77.1288,0.02,udp:131.202.243.104:138<->131.202.243.255:138
background,udp,10,380.28,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,42.253,78.9585,0.03,udp:131.202.243.105:138<->131.202.243.255:138
background,udp,11,487.18,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,48.7177,77.1989,0.02,udp:131.202.243.107:138<->131.202.243.255:138
background,udp,11,481.15,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,48.1147,76.7159,0.02,udp:131.202.243.108:138<->131.202.243.255:138
background,udp,11,486.34,216,0.0,-0.0,1,216,1.0,1.0,0.0,0.0,0.0,48.6336,77.129,0.02,udp:131.202.241.238:138<->131.202.243.255:138
background,udp,87,570.91,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,6.6385,19.784,0.15,udp:131.202.243.21:137<->131.202.243.255:137
background,udp,40,571.94,146,0.0,-0.0,1,146,1.0,1.0,0.0,0.0,0.0,14.6651,15.2414,0.07,udp:131.202.243.21:17500<->255.255.255.255:17500
background,udp,20,571.94,146,0.0,-0.0,1,146,1.0,1.0,0.0,0.0,0.0,30.102,0.0019,0.03,udp:131.202.243.21:17500<->131.202.243.255:17500
background,udp,20,571.62,272,0.0,-0.0,1,272,1.0,1.0,0.0,0.0,0.0,30.085,0.0141,0.03,udp:131.202.240.150:17500<->255.255.255.255:17500
background,udp,20,571.62,272,0.0,-0.0,1,272,1.0,1.0,0.0,0.0,0.0,30.085,0.0141,0.03,udp:131.202.240.150:17500<->131.202.243.255:17500
background,udp,20,571.73,168,0.0,-0.0,1,168,1.0,1.0,0.0,0.0,0.0,30.0909,0.0034,0.03,udp:131.202.243.19:17500<->255.255.255.255:17500
background,udp,20,571.73,168,0.0,-0.0,1,168,1.0,1.0,0.0,0.0,0.0,30.0909,0.0034,0.03,udp:131.202.243.19:17500<->131.202.243.255:17500
background,udp,20,571.95,156,0.0,-0.0,1,156,1.0,1.0,0.0,0.0,0.0,30.1027,0.0207,0.03,udp:131.202.240.185:17500<->255.255.255.255:17500
background,udp,20,571.95,156,0.0,-0.0,1,156,1.0,1.0,0.0,0.0,0.0,30.1027,0.0205,0.03,udp:131.202.240.185:17500<->131.202.243.255:17500
background,udp,490,570.05,136.8,32.6,2.838,23,159,0.339,0.696,0.0,0.0,0.0,1.1658,5.7319,0.86,udp:131.202.240.242:56587<->131.202.240.45:161
background,udp,20,571.62,179,0.0,-0.0,1,179,1.0,1.0,0.0,0.0,0.0,30.085,0.01,0.03,udp:131.202.240.206:17500<->255.255.255.255:17500
background,udp,20,571.62,179,0.0,-0.0,1,179,1.0,1.0,0.0,0.0,0.0,30.085,0.01,0.03,udp:131.202.240.206:17500<->131.202.243.255:17500
background,udp,15,480.01,87,0.0,-0.0,1,87,1.0,1.0,0.0,0.0,0.0,34.2863,56.2577,0.03,udp:131.202.240.183:50108<->224.0.0.251:5353
background,udp,16,570.17,86,0.0,-0.0,1,86,1.0,1.0,0.0,0.0,0.0,38.0114,0.0166,0.03,udp:131.202.240.183:57621<->131.202.243.255:57621
background,udp,14,490.09,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,37.6993,98.6451,0.03,udp:fe80::e9cc:5a72:9ea3:b138:546<->ff02::1:2:547
background,udp,14,490.07,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,37.698,98.6425,0.03,udp:fe80::7d39:f86f:fc49:f07c:546<->ff02::1:2:547
background,udp,10,539.99,75,0.0,-0.0,1,75,1.0,1.0,0.0,0.0,0.0,59.999,0.003,0.02,udp:131.202.240.206:4644<->131.202.243.255:4644
background,udp,14,136.36,246.2,122.2,1.414,3,348,0.571,1.0,0.0,0.0,0.0,10.4895,18.3994,0.1,udp:131.202.240.186:5353<->224.0.0.251:5353
background,udp,14,490.05,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,37.696,98.6499,0.03,udp:fe80::e196:4434:447:cdd9:546<->ff02::1:2:547
background,udp,14,490.09,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,37.6991,98.6519,0.03,udp:fe80::500c:1b55:a5d6:165a:546<->ff02::1:2:547
background,udp,14,490.01,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,37.6927,98.6398,0.03,udp:fe80::d538:5233:85c7:aee2:546<->ff02::1:2:547
background,udp,16,492.02,149,0.0,-0.0,1,149,1.0,1.0,0.0,0.0,0.0,32.8012,92.2325,0.03,udp:fe80::b88a:49f1:14e5:3ae9:546<->ff02::1:2:547
background,udp,17,319.02,225.1,7.6,1.264,3,218,0.471,1.0,0.0,0.0,0.0,19.9386,52.3721,0.05,udp:131.202.240.65:40815<->255.255.255.255:138
background,udp,87,380.8,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,4.4279,24.0096,0.23,udp:131.202.240.242:137<->131.202.243.255:137
background,udp,10,302.5,112,34.4,2.171,5,82,0.3,0.8,0.0,0.0,0.0,33.6106,79.8975,0.03,udp:131.202.240.242:63681<->8.8.8.8:53
background,udp,14,489.2,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,37.6306,98.3729,0.03,udp:fe80::a1fd:eb21:aa23:f69d:546<->ff02::1:2:547
background,udp,13,457.99,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,38.1661,103.009,0.03,udp:fe80::dc7d:19e8:506e:937b:546<->ff02::1:2:547
background,udp,13,458.03,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,38.1691,103.0166,0.03,udp:fe80::1428:54fe:2548:879:546<->ff02::1:2:547
background,udp,13,458.13,164,0.0,-0.0,1,164,1.0,1.0,0.0,0.0,0.0,38.1779,103.0241,0.03,udp:fe80::3531:1890:febe:9656:546<->ff02::1:2:547
background,udp,13,458.03,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,38.1691,103.017,0.03,udp:fe80::68e8:c1b0:4cf3:8cf7:546<->ff02::1:2:547
background,udp,12,442.1,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,40.1913,107.7951,0.03,udp:fe80::28dc:4230:6ce3:db92:546<->ff02::1:2:547
background,tcp,11,29.85,208.8,405.4,2.369,6,54,0.364,0.727,0.091,0.182,0.222,2.9853,9.3941,0.37,tcp:131.202.240.242:5496<->4.28.136.42:80
background,udp,11,434.02,146,0.0,-0.0,1,146,1.0,1.0,0.0,0.0,0.0,43.4019,113.0658,0.03,udp:fe80::d42f:bdd3:e32d:76f0:546<->ff02::1:2:547
background,udp,13,436.01,150,0.0,-0.0,1,150,1.0,1.0,0.0,0.0,0.0,36.3344,103.5933,0.03,udp:fe80::55f1:fbb6:f1e6:8004:546<->ff02::1:2:547
background,udp,14,136.34,249.4,123.3,1.414,3,352,0.571,1.0,0.0,0.0,0.0,10.4875,18.4075,0.1,udp:131.202.240.183:5353<->224.0.0.251:5353
background,udp,36,6.42,521.2,30.4,2.585,6,476,0.167,0.5,0.0,0.0,0.0,0.1833,0.6003,5.61,udp:131.202.240.117:1900<->239.255.255.250:1900
background,udp,36,6.42,547.2,30.4,2.585,6,502,0.167,0.5,0.0,0.0,0.0,0.1833,0.6003,5.61,udp:fe80::b88a:49f1:14e5:3ae9:1900<->ff02::c:1900
background,udp,21,132.26,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,6.6129,13.68,0.16,udp:131.202.243.255:137<->131.202.243.48:137
background,udp,24,32.22,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,1.4007,2.9179,0.74,udp:131.202.243.255:137<->131.202.243.27:137
background,udp,33,24.01,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,0.7502,0.0011,1.37,udp:131.202.240.196:137<->131.202.243.255:137
background,udp,10,593.13,86.3,0.5,0.881,2,86,0.7,1.0,0.0,0.0,0.0,65.9036,187.0637,0.02,udp:131.202.240.217:5353<->224.0.0.251:5353
background,udp,121,600.0,63,0.0,-0.0,1,63,1.0,1.0,0.0,0.0,0.0,5.0,0.0004,0.2,udp:131.202.240.183:54357<->131.202.243.255:32412
background,udp,121,600.0,63,0.0,-0.0,1,63,1.0,1.0,0.0,0.0,0.0,5.0,0.0005,0.2,udp:131.202.240.183:54361<->131.202.243.255:32414
background,udp,11,600.01,80,0.0,-0.0,1,80,1.0,1.0,0.0,0.0,0.0,60.0009,0.0014,0.02,udp:131.202.240.97:4644<->131.202.243.255:4644
background,udp,742,602.26,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,0.8128,1.3694,1.23,udp:131.202.240.102:137<->131.202.243.255:137
background,udp,19,602.29,92,0.0,-0.0,1,92,1.0,1.0,0.0,0.0,0.0,33.4606,69.9718,0.03,udp:131.202.240.79:137<->131.202.243.255:137
